 teff  logg feh u1 u2
13000  2.50 -5.00  0.1769  0.2897
14000  2.50 -5.00  0.1697  0.2913
15000  2.50 -5.00  0.1639  0.2939
16000  2.50 -5.00  0.1584  0.2982
17000  2.50 -5.00  0.1547  0.3022
18000  2.50 -5.00  0.1538  0.3055
19000  2.50 -5.00  0.1556  0.3090
 3500  3.00 -5.00  0.3007  0.3260
 3750  3.00 -5.00  0.0806  0.4956
 4000  3.00 -5.00  0.0497  0.4590
 4250  3.00 -5.00  0.1648  0.3875
 4500  3.00 -5.00  0.2149  0.3891
 4750  3.00 -5.00  0.2472  0.3714
 5000  3.00 -5.00  0.2650  0.3584
 5250  3.00 -5.00  0.2819  0.3412
 5500  3.00 -5.00  0.2921  0.3274
 5750  3.00 -5.00  0.2994  0.3154
 6000  3.00 -5.00  0.3036  0.3054
 6250  3.00 -5.00  0.3005  0.3026
 6500  3.00 -5.00  0.2905  0.3051
 6750  3.00 -5.00  0.2738  0.3148
 7000  3.00 -5.00  0.2710  0.3118
 7250  3.00 -5.00  0.4295  0.1776
 7500  3.00 -5.00  0.4012  0.2021
 7750  3.00 -5.00  0.3721  0.2230
 8000  3.00 -5.00  0.3415  0.2426
 8500  3.00 -5.00  0.2802  0.2795
 8750  3.00 -5.00  0.2575  0.2889
 9000  3.00 -5.00  0.2411  0.2927
 9500  3.00 -5.00  0.2209  0.2926
 9750  3.00 -5.00  0.2135  0.2919
10000  3.00 -5.00  0.2094  0.2891
10500  3.00 -5.00  0.1997  0.2869
11000  3.00 -5.00  0.1905  0.2863
11500  3.00 -5.00  0.1837  0.2844
12000  3.00 -5.00  0.1778  0.2827
12500  3.00 -5.00  0.1720  0.2817
13000  3.00 -5.00  0.1670  0.2808
14000  3.00 -5.00  0.1588  0.2792
15000  3.00 -5.00  0.1520  0.2784
16000  3.00 -5.00  0.1445  0.2800
17000  3.00 -5.00  0.1384  0.2816
18000  3.00 -5.00  0.1322  0.2841
19000  3.00 -5.00  0.1276  0.2861
20000  3.00 -5.00  0.1244  0.2887
21000  3.00 -5.00  0.1221  0.2925
22000  3.00 -5.00  0.1204  0.2976
23000  3.00 -5.00  0.1200  0.3033
24000  3.00 -5.00  0.1195  0.3109
25000  3.00 -5.00  0.1213  0.3178
26000  3.00 -5.00  0.1158  0.3297
 4000  3.50 -5.00 -0.0184  0.5115
 4250  3.50 -5.00  0.0766  0.4190
 4500  3.50 -5.00  0.1377  0.4215
 4750  3.50 -5.00  0.2239  0.3800
 5000  3.50 -5.00  0.2456  0.3720
 5250  3.50 -5.00  0.2568  0.3606
 5500  3.50 -5.00  0.2729  0.3442
 5750  3.50 -5.00  0.2814  0.3313
 6000  3.50 -5.00  0.2878  0.3197
 6250  3.50 -5.00  0.2891  0.3130
 6500  3.50 -5.00  0.2834  0.3119
 6750  3.50 -5.00  0.2735  0.3149
 7000  3.50 -5.00  0.2609  0.3207
 7250  3.50 -5.00  0.2524  0.3224
 7500  3.50 -5.00  0.4039  0.1950
 7750  3.50 -5.00  0.3755  0.2189
 8000  3.50 -5.00  0.3471  0.2380
 8500  3.50 -5.00  0.2914  0.2696
 8750  3.50 -5.00  0.2663  0.2820
 9000  3.50 -5.00  0.2468  0.2887
 9500  3.50 -5.00  0.2210  0.2924
 9750  3.50 -5.00  0.2110  0.2935
10000  3.50 -5.00  0.2037  0.2927
10500  3.50 -5.00  0.1931  0.2897
11000  3.50 -5.00  0.1856  0.2859
11500  3.50 -5.00  0.1793  0.2825
12000  3.50 -5.00  0.1732  0.2796
12500  3.50 -5.00  0.1678  0.2771
13000  3.50 -5.00  0.1629  0.2748
14000  3.50 -5.00  0.1546  0.2705
15000  3.50 -5.00  0.1468  0.2680
16000  3.50 -5.00  0.1405  0.2655
17000  3.50 -5.00  0.1341  0.2647
