#Col 1 - KOI
#Col 2 - KIC
#Col 3 - 1==good ephemeris match to TCE ; 2=degraded match to TCE or twice/half ephemeris match, but still acceptable
#Col 4 - Phase of secondary - weak secondary test is still triggering near the primary sometimes; filter on proximity
#Col 5- 2ndary depth [ppm]
#Col 6 - uncertainty in 2ndary depth [ppm]
#Col 7 - MES/significance of secondary
#
KOI,kepid,matchflag,phase,depth,e_depth,mes
1294.01,10549562,1,0.497178,180.83,11.92,15.72
1295.01,10666230,1,0.063380,24.19,21.66,2.14
1296.01,10971674,1,0.499361,1430.09,9.63,235.01
1297.01,10676923,1,0.669647,17.39,8.48,1.00
1298.01,10604335,1,0.441718,140.88,37.02,3.38
1298.02,10604335,1,-0.157960,75.23,90.48,3.91
1299.01,10864656,1,-0.217182,44.80,15.85,3.20
1300.01,10975146,1,0.410964,6.13,3.81,1.20
1301.01,10538176,1,0.644251,66.00,30.07,1.57
1301.02,10538176,1,0.443922,131.81,44.26,2.94
1302.01,10724369,1,0.273606,68.68,20.46,3.39
1303.01,10867062,1,0.334623,44.66,15.86,2.13
1304.01,10744335,1,-0.086416,58.37,21.83,2.06
1305.01,10730034,1,0.374930,29.85,11.86,2.67
1306.01,10858691,1,0.408824,21.88,9.62,1.85
1306.02,10858691,1,0.593217,36.37,14.30,2.92
1306.03,10858691,1,0.039156,32.37,28.84,1.89
1306.04,10858691,1,0.134263,55.25,36.86,2.56
1307.01,10973814,1,0.173272,88.25,24.84,2.88
1307.02,10973814,1,-0.044806,57.28,19.27,3.32
1308.01,10586208,1,0.395255,31.28,10.89,2.77
1309.01,10854768,1,0.271984,18.01,7.86,2.25
1310.01,10964440,1,-0.061598,60.94,16.88,2.77
1310.02,10964440,1,0.672849,104.80,30.62,3.27
1311.01,10713616,1,-0.241795,47.80,14.00,3.55
1312.01,10963242,1,-0.034350,1.80,29.34,1.86
1313.01,10785538,1,0.526358,14.03,2.22,4.61
1314.01,10585852,1,0.307393,11.40,6.47,2.04
1315.01,10928043,1,-0.199964,8.34,4.97,1.77
1316.01,10794087,1,0.458649,4.97,2.37,1.96
1317.01,4275739,1,0.541474,41.31,24.93,2.26
1318.01,4070376,1,0.501028,151.64,22.39,7.26
1319.01,4078157,1,0.611160,893.15,84.85,11.57
1320.01,4164994,1,0.443144,153.64,48.47,3.40
1321.01,4480676,1,0.136067,6.27,47.97,0.47
1322.01,4079535,1,0.362207,845.89,53.73,17.54
1323.01,4076098,1,0.700692,59.70,28.43,1.82
1324.01,4551328,2,0.427994,94.80,11.10,7.18
1325.01,4282872,1,0.421730,83.76,24.47,2.61
1326.01,4639868,1,0.275576,10.87,16.49,3.37
1327.01,4372768,1,-0.329222,551.41,50.82,10.20
1328.01,4074736,1,0.679588,395.16,114.19,3.33
1329.01,4072526,1,0.710926,101.33,34.77,3.32
1330.01,4150539,1,0.413871,69.56,28.76,2.33
1331.01,4274548,1,-0.025272,88.25,40.84,2.80
1332.01,4455231,1,0.557579,85.42,25.59,3.32
1332.02,4455231,1,0.636963,40.41,15.73,2.59
1332.03,4455231,1,0.473452,166.94,35.95,4.21
1333.01,4285107,1,0.502158,17.91,6.43,3.20
1334.01,4150624,1,0.271561,526.72,19.56,27.84
1334.02,4150624,1,0.499837,404.02,60.59,7.63
1335.01,4155328,1,0.450714,144.06,55.77,3.12
1336.01,4077526,1,0.622066,61.56,20.11,3.43
1336.02,4077526,1,-0.134046,70.85,23.85,2.74
1336.03,4077526,1,0.406284,87.42,44.16,3.26
1336.04,4077526,1,-0.205617,55.40,15.89,3.05
1337.01,4243911,1,-0.045506,15.82,32.27,0.95
1338.01,4466677,1,-0.058176,19.67,27.28,2.68
1338.02,4466677,1,-0.089276,127.75,30.21,4.31
1338.03,4466677,1,0.677191,68.85,22.83,3.08
1339.01,4135665,1,-0.157446,29.75,10.57,2.53
1340.01,4386059,1,0.500103,18.09,6.30,3.58
1341.01,4650674,1,0.044303,17.84,12.18,2.32
1342.01,4275721,1,0.289843,27.22,8.44,2.67
1342.02,4275721,1,0.336110,29.30,11.82,2.88
1343.01,4570931,1,-0.089002,9.74,4.19,1.78
1344.01,4136466,1,0.435925,13.14,4.81,2.39
1345.01,7284688,2,0.449845,34.85,15.80,2.98
1346.01,7199774,1,-0.499977,1933.16,13.11,225.46
1347.01,7037540,1,0.496455,599.98,14.82,41.85
1348.01,6866228,1,0.490823,1038.48,25.22,45.31
1349.01,6847018,1,0.435782,953.34,20.28,68.80
1350.01,7220322,1,0.404400,25.66,3.76,10.58
1351.01,6964043,2,0.334033,-45.91,15.43,38.80
1352.01,6956233,1,0.493287,139.07,18.98,7.94
1353.01,7303287,1,-0.170465,132.99,61.69,3.79
1353.02,7303287,1,0.434773,33.95,24.41,3.76
1354.01,6891543,1,-0.104609,95.67,7.96,8.51
1355.01,7211141,1,0.132343,219.55,49.97,3.43
1357.01,6719086,1,0.644063,50.73,19.76,2.03
1358.01,7376983,1,0.279586,91.51,24.65,4.06
1358.02,7376983,1,0.562143,80.81,31.35,3.02
1358.03,7376983,1,0.622438,51.03,22.69,2.05
1358.04,7376983,1,0.671407,55.84,16.91,2.25
1359.01,6946199,1,0.089404,76.38,28.72,2.87
1359.02,6946199,1,-0.209493,202.87,67.96,4.37
1360.01,7102227,1,0.562289,103.90,41.20,3.53
1360.02,7102227,1,0.139943,89.78,32.02,2.39
1360.03,7102227,1,-0.118617,7.09,19.35,0.42
1361.01,6960913,1,0.234097,132.57,37.88,3.49
1362.01,6837146,1,0.056445,117.64,42.32,2.61
1363.01,6936909,1,0.105639,49.05,17.74,3.23
1363.02,6936909,1,0.520225,70.18,29.39,1.92
1364.01,6962977,1,0.621098,124.55,40.31,2.20
1364.02,6962977,1,0.027996,0.00,-1.00,0.00
1364.03,6962977,1,0.581505,84.43,28.12,1.96
1364.04,6962977,1,0.144386,35.08,21.58,1.26
1364.05,6962977,1,0.123104,34.05,18.82,1.79
1365.01,7174351,1,0.271084,21.44,16.38,1.02
1366.01,6932987,1,0.293200,66.40,25.60,2.27
1366.02,6932987,1,0.361348,157.88,40.32,3.51
1367.01,6934291,1,-0.170597,-1.13,8.80,0.69
1368.01,7357531,1,0.002035,312.12,56.99,4.16
1369.01,7287415,1,-0.064236,-18.45,17.60,1.11
1370.01,6924203,1,0.617886,49.31,17.04,2.55
1371.01,6878167,1,0.561589,9.85,5.63,1.58
1373.01,6863839,1,0.524528,8.37,5.71,1.63
1374.01,7296086,1,0.501692,14.55,4.87,2.22
1375.01,6766634,1,0.002460,174.76,26.89,4.51
1376.01,6774826,1,0.505145,22.40,7.28,2.25
1377.01,7211469,1,0.132043,31.73,10.98,2.49
1378.01,7375795,1,-0.092458,11.67,6.65,2.12
1378.02,7375795,2,0.192770,2.39,2.60,0.69
1379.01,7211221,1,0.596971,16.70,5.21,3.54
1380.01,7025526,1,0.305486,1.74,1.24,1.68
1381.01,9451127,1,0.500480,1904.77,29.29,77.51
1382.01,9446824,1,0.499210,1608.51,30.70,59.34
1383.01,8953257,1,0.499532,1338.56,18.27,91.94
1384.01,8971432,1,0.495485,102.55,12.40,9.55
1385.01,9278553,1,0.315124,106.66,42.27,2.29
1386.01,9143254,1,0.085163,-29.91,38.49,0.14
1387.01,8949247,1,0.504609,58.12,21.02,3.00
1388.01,9346253,1,-0.296723,1285.76,31.78,46.56
1389.01,9002237,1,0.500009,1210.40,17.68,73.32
1390.01,9288786,1,0.500099,1093.51,19.54,55.17
1391.01,8958035,1,0.681289,62.17,13.92,3.95
1392.01,9040849,1,0.051593,155.54,30.54,4.39
1393.01,9202151,1,-0.068226,76.80,20.27,4.39
1394.01,8937021,1,0.663973,950.41,44.58,41.13
1395.01,8935810,1,0.638864,127.22,57.45,2.31
1396.01,9455556,1,0.104707,73.54,24.06,2.71
1396.02,9455556,1,0.275247,32.52,19.69,1.63
1397.01,9427402,1,0.178585,132.61,31.69,3.58
1398.01,9269281,1,0.537514,81.33,24.57,2.88
1399.01,9100484,1,0.722874,97.00,32.65,2.86
1400.01,9157908,1,0.311813,209.26,7.94,32.35
1402.01,9034103,1,0.406628,56.86,19.89,1.71
1403.01,9214942,1,-0.133301,144.75,38.06,3.63
1404.01,8874090,1,-0.404972,101.60,36.00,2.32
1404.02,8874090,1,0.382240,188.92,40.31,3.26
1405.01,9264949,1,0.476887,73.19,25.21,2.45
1406.01,9271752,1,0.428659,29.40,11.71,2.71
1408.01,9150827,1,0.210812,54.22,19.20,2.91
1409.01,9391208,1,0.283367,78.50,23.02,2.78
1410.01,9391506,1,0.525016,52.16,17.90,2.98
1411.01,9425139,1,-0.036168,128.19,35.18,4.97
1412.01,8950853,1,0.121397,30.46,9.85,4.10
1413.01,9006449,1,0.319964,17.32,8.95,2.20
1413.02,9006449,1,0.249321,38.88,11.37,3.60
1413.03,9006449,1,0.691447,61.82,18.22,3.33
1414.01,8916492,1,0.499359,5.24,0.98,4.92
1416.01,11517719,1,0.497846,687.11,19.74,44.72
1417.01,11599264,1,0.501295,1093.73,62.60,16.46
1418.01,11100657,1,0.509382,1191.74,57.55,17.90
1419.01,11125936,2,0.500649,281.17,22.66,16.34
1420.01,11026304,1,0.494843,99.35,32.39,2.50
1422.01,11497958,1,0.308127,93.11,37.80,2.52
1422.02,11497958,1,0.221976,183.30,58.13,3.59
1422.03,11497958,1,0.219924,152.21,52.10,3.04
1422.04,11497958,1,0.319502,418.63,110.65,4.12
1422.05,11497958,1,0.164586,257.10,78.07,3.27
1423.01,11177707,1,0.127443,549.77,115.72,3.83
1424.01,11611600,1,0.487523,4.81,7.94,1.42
1425.01,11254382,1,-0.076076,13.54,23.37,1.70
1426.02,11122894,1,0.332861,-29.60,32.85,5.42
1426.03,11122894,1,0.198132,159.35,70.89,5.01
1427.01,11129738,1,-0.047838,72.04,80.07,1.32
1428.01,11401182,1,0.508276,18.17,5.10,3.66
1429.01,11030711,1,-0.098707,174.19,61.48,4.17
1430.01,11176127,1,0.259039,61.50,30.34,2.22
1430.02,11176127,1,0.487902,134.63,47.89,2.97
1430.03,11176127,1,0.494825,181.81,60.51,3.38
1431.01,11075279,1,0.495728,122.28,46.34,3.36
1432.01,11014932,1,0.647893,33.14,14.33,1.59
1432.02,11014932,1,0.145368,41.65,19.70,1.77
1432.03,11014932,1,-0.164405,19.02,10.10,1.28
1432.04,11014932,1,0.399392,83.63,32.80,2.02
1433.01,11288505,1,0.307760,86.48,38.77,2.25
1434.01,11493431,1,-0.145810,27.08,11.49,2.33
1435.01,11037335,1,0.421065,31.20,11.73,2.58
1435.02,11037335,1,0.391882,34.88,10.66,3.04
1436.01,11389771,1,0.415246,20.51,9.38,1.51
1436.02,11389771,1,0.659227,77.74,19.76,4.20
1436.03,11389771,1,0.127828,34.71,14.32,2.49
1437.01,11599038,1,0.719493,68.83,20.67,2.27
1438.01,11193263,1,0.734893,15.72,5.69,2.57
1439.01,11027624,1,0.489730,37.78,21.45,3.26
1440.01,11032227,1,0.733918,29.16,13.63,1.78
1441.01,11356260,1,0.626691,45.46,15.89,3.12
1442.01,11600889,1,0.150246,12.12,4.08,3.66
1443.01,11197126,1,0.260736,160.70,6.49,24.08
1444.01,11043167,1,-0.205050,58.12,20.06,2.44
1445.01,11336883,1,-0.208071,5.54,3.99,2.00
1446.01,12506351,1,0.222842,20.95,5.54,3.25
1447.01,7622486,1,-0.006600,606.05,123.91,17.39
1447.02,7622486,1,0.501110,128.25,18.62,13.85
1448.01,9705459,1,0.499346,892.95,24.84,42.23
1449.01,7802136,1,0.444549,740.39,17.61,43.74
1450.01,7532973,1,0.498618,411.06,11.00,56.02
1451.01,9632895,1,0.496336,2827.69,26.82,181.29
1452.01,7449844,1,-0.499039,422.41,8.57,57.82
1453.01,7842610,1,0.099673,18.51,37.80,1.54
1454.01,7830637,1,-0.038985,156.15,33.71,4.19
1455.01,4760746,1,-0.034566,255.33,70.06,3.12
1456.01,7832356,1,0.151135,59.28,20.25,2.85
1457.01,9643874,1,0.314536,60.33,20.12,2.81
1458.01,12120943,1,0.043985,182.24,37.82,4.66
1459.01,9761199,2,0.494481,77.41,24.04,19.12
1460.01,7751571,1,0.627113,229.19,27.29,7.57
1461.01,9579499,1,0.012191,373.49,117.19,3.83
1462.01,11913013,1,0.498402,867.65,130.93,5.95
1464.01,7838655,1,0.406179,25.39,12.18,2.37
1465.01,11702948,1,0.732639,96.52,23.42,4.12
1466.01,9512981,1,-0.109826,287.28,98.18,2.99
1467.01,7770450,1,-0.118760,28.21,14.31,2.62
1468.01,9851226,1,0.628929,192.31,18.73,10.28
1469.01,7543649,1,-0.059324,70.61,15.19,4.64
1470.01,9480310,1,0.399386,75.20,35.89,2.18
1471.01,11858748,1,0.601263,11.99,13.77,1.63
1472.01,7761545,1,0.160000,127.59,32.46,3.66
1473.01,7499398,1,0.123533,130.78,61.14,2.66
1474.01,12365184,1,0.211954,75.53,24.67,3.40
1475.01,4770365,1,0.099033,70.38,30.34,2.10
1475.02,4770365,1,0.437559,127.15,62.55,2.20
1475.03,4770365,1,0.651515,167.04,56.41,2.96
1476.01,12406749,1,0.269621,193.34,66.82,3.70
1477.01,7811397,1,0.668702,267.37,87.30,3.24
1478.01,12403119,1,0.161770,48.06,11.61,3.36
1479.01,9842890,1,-0.245774,31.87,15.60,1.46
1480.01,7512982,1,-0.193154,132.35,44.00,2.58
1480.02,7512982,1,0.326119,54.31,26.01,1.74
1481.01,9597806,1,0.367547,68.94,21.42,3.46
1482.01,7812167,1,0.414546,248.71,27.78,9.20
1483.01,11909686,1,0.061115,163.03,44.82,3.41
1484.01,11760959,1,0.543735,60.33,26.64,2.38
1485.01,9692345,1,-0.232256,39.84,10.89,3.03
1486.01,7898352,1,-0.021405,287.63,79.02,4.16
1486.02,7898352,1,-0.132010,107.88,33.06,2.93
1487.01,12062667,1,-0.199965,15.15,4.80,4.56
1488.01,9589323,1,-0.024528,43.73,32.93,2.13
1489.01,9823487,1,0.521229,110.24,31.36,3.36
1490.01,9602514,1,-0.112994,35.11,7.80,2.81
1491.01,9726659,1,0.157144,36.07,17.04,2.57
1492.01,12108312,1,0.686622,12.69,4.30,2.40
1493.01,9842906,1,0.505201,64.40,14.05,4.00
1494.01,11821363,1,0.441030,105.88,46.81,1.86
1495.01,7629518,1,0.651897,66.16,21.89,2.45
1496.01,4828341,1,0.329982,250.60,57.93,3.87
1497.01,11774387,1,-0.306360,23.88,9.34,1.39
1498.01,9636135,1,0.424991,56.51,18.12,1.11
1498.02,9636135,1,0.073406,68.96,109.48,0.57
1499.01,7841925,1,0.226016,36.14,12.04,2.76
1499.02,7841925,1,0.323435,15.92,4.65,3.00
1499.03,7841925,1,-0.159374,25.39,9.50,2.11
1500.01,9719634,1,0.339548,14.00,9.90,1.83
1501.01,7439316,1,0.186416,24.25,17.46,1.49
1502.01,12061238,1,-0.113248,10.38,10.92,1.40
1503.01,12400538,1,0.416946,147.70,38.63,3.86
1504.01,9641018,1,0.631272,19.14,4.85,3.80
1505.01,9813499,1,0.598215,37.21,18.32,1.17
1506.01,12254792,1,0.590498,97.10,29.87,3.28
1507.01,12020218,1,0.198988,44.85,24.50,1.97
1508.01,7690844,1,0.418320,89.41,35.26,2.52
1509.01,9535080,1,-0.039239,-8.78,7.31,4.77
1510.01,11870545,1,0.122774,15.14,27.08,1.39
1511.01,7901948,1,-0.420085,17.49,10.17,2.01
1512.01,11955499,1,0.493677,155.49,21.65,6.78
1514.01,9520668,1,-0.115383,13.82,12.44,1.63
1515.01,7871954,1,0.214569,13.50,7.43,2.77
1515.02,7871954,1,-0.223052,26.64,15.02,2.89
1516.01,12418724,1,-0.190216,61.83,22.41,2.28
1517.01,7456001,1,0.474774,60.72,21.98,2.71
1518.01,7549209,1,0.040856,66.84,20.53,2.02
1519.01,7663405,1,-0.040093,11.17,21.53,1.49
1519.02,7663405,1,0.680019,200.85,58.27,3.41
1520.01,9765975,1,0.383394,30.26,13.56,2.67
1521.01,9818462,1,0.633734,57.80,21.32,3.37
1522.01,12266636,1,0.321530,53.01,18.18,2.88
1522.02,12266636,1,-0.124868,29.17,10.56,1.85
1523.01,9850893,1,0.631339,54.71,16.54,2.64
1524.01,4826110,1,-0.194521,11.99,9.37,1.23
1525.01,7869917,1,0.238378,16.26,8.03,2.42
1525.02,7869917,1,-0.219229,27.19,10.22,2.93
1526.01,9824805,1,0.056702,10.80,11.15,0.85
1527.01,7768451,1,0.231489,139.80,57.40,3.55
1528.01,7691260,1,0.315668,22.24,8.35,3.02
1529.01,9821454,1,0.399473,24.09,10.17,1.73
1529.02,9821454,1,0.538057,20.63,8.20,2.08
1530.01,11954842,1,0.573546,15.55,6.82,1.79
1531.01,11764462,1,-0.248575,16.90,5.34,3.65
1532.01,11656246,1,-0.118067,14.65,5.79,3.08
1533.01,7808587,1,0.668252,15.74,5.72,2.30
1534.01,4741126,1,0.214787,19.65,7.06,2.29
1534.02,4741126,1,0.140419,14.27,4.96,2.51
1535.01,11669125,1,-0.037573,39.72,13.05,3.73
1536.01,12159249,1,0.523418,7.17,3.33,1.77
1537.01,9872292,1,-0.193142,9.57,3.21,3.23
1538.01,9963461,1,0.202471,7094.99,168.81,252.50
1539.01,8081482,1,0.499931,2259.96,43.85,87.91
1540.01,5649956,1,0.724029,82.03,20.56,3.95
1541.01,4840513,1,-0.499102,1086.10,22.79,59.21
1542.01,8113154,1,-0.152713,315.49,63.90,3.88
1543.01,5270698,1,0.499970,685.05,15.60,55.06
1544.01,5024450,1,0.691443,42.77,13.30,2.33
1545.01,5282049,1,0.499856,204.93,23.39,9.84
1545.02,5282049,1,-0.222114,25.49,22.10,2.13
1546.01,5475431,2,0.504661,91.96,12.10,7.02
1547.01,5283458,1,-0.053791,242.33,70.97,3.68
1548.01,9940565,1,0.532562,7.73,8.13,2.82
1549.01,8053552,1,-0.053707,113.58,38.69,2.62
1550.01,8111381,1,0.501762,221.68,9.41,20.98
1551.01,5444549,1,0.705217,571.89,44.29,12.36
1552.01,7984047,1,0.216614,435.35,109.29,4.46
1553.01,7951018,1,0.497553,61.41,28.35,2.95
1554.01,9899355,1,0.134453,72.22,13.14,4.63
1556.01,9902856,1,-0.112376,431.58,102.31,3.86
1557.01,5371776,1,0.708901,45.57,16.54,3.96
1557.02,5371776,1,0.126898,61.34,23.57,3.49
1557.03,5371776,1,0.193992,28.49,20.40,2.25
1557.04,5371776,1,0.742087,23.62,10.70,2.01
1558.01,10019763,1,-0.056338,153.91,53.49,3.36
1559.01,9899280,1,-0.146960,58.62,7.43,6.34
1560.01,8046659,1,0.657002,120.07,36.92,3.70
1561.01,4940438,1,-0.020178,260.81,40.30,5.48
1562.01,5308663,1,-0.119502,11.71,29.71,0.51
1562.02,5308663,1,0.027492,176.74,57.61,2.65
1563.01,5219234,1,0.471492,52.44,32.70,1.81
1563.02,5219234,1,0.094475,86.24,36.03,2.11
1563.03,5219234,1,0.144288,83.94,29.90,2.16
1563.04,5219234,1,0.748896,210.20,73.13,2.95
1564.01,5184584,1,0.379112,98.23,36.08,2.74
1565.01,5636648,2,-0.194165,41.70,8.95,3.79
1566.01,5564247,1,0.505453,62.99,22.99,2.46
1567.01,5438099,1,0.116536,62.46,20.56,2.37
1567.02,5438099,1,0.166803,29.19,16.26,1.05
1567.03,5438099,1,-0.225988,67.53,29.38,2.64
1567.04,5438099,1,-0.175198,134.75,40.90,3.00
1568.01,5210475,1,0.099117,10.94,25.25,1.49
1569.01,8009350,1,0.118618,71.69,33.87,2.54
1570.01,8082001,1,0.447657,27.69,14.19,2.36
1571.01,5557821,1,0.066154,35.60,17.61,3.38
1572.01,10004519,1,0.611617,29.26,17.11,1.64
1573.01,5031857,1,0.269852,61.24,19.66,2.88
1573.02,5031857,1,0.243013,37.61,12.39,3.11
1574.01,10028792,1,0.055562,102.04,38.43,8.38
1574.02,10028792,2,-0.066667,106.08,42.50,3.00
1574.03,10028792,1,0.056045,21.47,11.33,2.83
1575.01,5553652,1,0.383004,981.16,62.32,18.32
1576.01,5299459,1,0.667264,22.49,13.63,2.12
1576.02,5299459,1,0.689225,44.12,15.10,3.51
1577.01,12506770,1,0.219372,54.61,29.75,1.70
1578.01,5629985,1,-0.155894,9.17,5.02,1.46
1579.01,9898364,1,0.500213,47.58,8.05,5.66
1581.01,7939330,1,0.342835,96.60,27.70,2.62
1581.02,7939330,1,0.316528,64.80,55.77,3.27
1582.01,4918309,2,-0.192585,230.42,74.51,3.51
1583.01,12602568,1,0.505705,43.45,14.46,1.69
1584.01,9941066,1,0.419777,47.89,22.42,2.31
1585.01,5470739,1,0.742880,30.83,26.71,2.57
1586.01,10022908,1,0.514277,61.19,16.89,4.46
1587.01,9932970,1,0.496683,218.63,72.31,3.00
1588.01,5617854,1,0.723174,28.96,10.23,2.36
1589.01,5301750,1,0.214743,28.33,14.64,2.80
1589.02,5301750,1,-0.093052,38.70,16.95,2.56
1589.03,5301750,1,-0.135308,57.36,24.99,3.41
1589.04,5301750,1,-0.152384,31.62,11.44,3.00
1589.05,5301750,1,-0.222599,102.44,31.08,3.15
1590.01,5542466,1,0.328671,101.45,33.97,2.76
1590.02,5542466,1,0.738227,46.85,16.52,2.79
1590.03,5542466,1,0.589627,50.87,24.47,1.98
1591.01,10028140,1,0.063274,78.36,34.07,2.30
1592.01,5217586,1,0.434491,78.66,14.28,4.40
1593.01,5289854,1,0.689794,98.40,28.55,2.73
1593.02,5289854,1,0.429942,84.24,31.87,2.59
1594.01,9895709,1,0.505206,27.19,9.45,3.60
1595.01,10006581,1,0.327065,59.11,19.95,1.86
1596.01,10027323,1,0.030597,64.86,65.18,2.09
1596.02,10027323,1,0.264875,222.68,77.46,3.74
1597.01,5039228,1,0.283919,16.52,7.76,3.38
1598.01,10004738,1,-0.027859,53.06,22.47,2.71
1598.02,10004738,1,0.575712,59.00,22.78,3.45
1598.03,10004738,1,0.748947,28.17,13.44,2.91
1599.01,5474613,2,0.712966,35.15,16.40,2.03
1599.02,5474613,2,-0.232712,55.01,16.84,2.42
1600.01,4860932,1,-0.245558,411.42,21.09,21.41
1601.01,5438757,1,0.302698,14.60,9.30,1.47
1601.02,5438757,1,0.589173,55.75,16.81,2.24
1602.01,4860678,1,0.255323,35.03,14.03,1.43
1603.01,5177104,1,0.625622,17.29,5.88,2.02
1604.01,10033279,1,-0.088890,93.99,27.01,3.79
1605.01,5009189,1,0.609624,198.45,14.53,14.04
1606.01,9886661,1,0.085256,14.29,6.76,2.15
1607.01,5477805,1,0.499840,37.47,7.21,5.39
1608.01,10055126,1,0.343834,11.63,6.35,2.06
1608.02,10055126,1,0.346803,18.17,9.73,2.03
1608.03,10055126,1,0.039803,93.67,26.39,3.71
1609.01,5009743,1,-0.218724,42.52,11.93,3.31
1610.01,5474733,1,-0.102543,16.94,9.87,2.86
1611.01,12644769,1,0.488483,16277.06,166.00,2015.85
1612.01,10963065,1,-0.040568,0.65,1.55,2.49
1613.01,6268648,1,-0.171717,7.92,3.38,2.40
1613.02,6268648,1,0.685697,19.48,7.49,3.38
1614.01,10514429,1,0.361605,60.67,16.65,3.18
1615.01,4278221,1,0.501152,6.57,2.21,4.06
1616.01,9015738,1,-0.294714,23.45,7.08,2.74
1618.01,7215603,1,0.311127,3.64,1.47,2.90
1619.01,4276716,1,0.654571,10.59,6.27,2.92
1620.01,6468337,1,0.499206,8.36,1.33,7.08
1621.01,5561278,1,-0.073441,9.95,4.75,2.69
1622.01,7287683,1,-0.464844,22.35,6.43,3.16
1623.01,11392618,1,-0.077249,52.53,14.24,3.78
1624.01,6233890,1,0.418394,9.23,4.11,2.25
1625.01,6312314,1,-0.074210,15.79,11.49,2.51
1626.01,6387542,1,-0.112858,-2.90,15.18,0.31
1627.01,6543893,1,0.269503,116.54,39.14,3.05
1627.02,6543893,1,0.637997,86.10,35.68,2.77
1627.03,6543893,1,0.586810,94.24,27.60,2.39
1628.01,6975129,1,0.653359,25.43,13.09,3.50
1628.02,6975129,1,0.220386,5.96,3.76,2.23
1628.03,6975129,1,-0.046439,79.19,24.33,3.15
1629.01,8685497,1,-0.099214,17.06,5.00,2.59
1630.01,9017682,1,0.409084,37.03,14.36,2.12
1631.01,9084778,2,0.087069,38.83,22.59,2.73
1632.01,9277896,1,0.250514,8.33,4.07,2.77
1633.01,9401997,1,0.600414,86.34,32.00,2.90
1635.01,10487119,1,0.188908,39.78,36.09,1.76
1636.01,10621666,1,0.503158,37.08,8.13,4.59
1637.01,10686864,1,0.528339,86.06,25.24,2.86
1638.01,10747439,1,-0.162364,23.45,11.54,2.67
1640.01,10813841,2,0.589171,43.57,28.28,1.86
1641.01,10879038,1,0.046141,31.26,16.73,1.85
1642.01,10879656,2,0.503234,79.71,6.62,9.77
1643.01,10990917,1,0.419299,49.83,15.05,2.85
1644.01,11043136,2,0.500033,2410.14,44.22,68.13
1645.01,11045383,1,0.071280,70.87,27.72,3.27
1646.01,11046025,1,0.690875,26.02,11.08,2.02
1647.01,11153121,1,0.346691,34.25,12.51,2.51
1647.02,11153121,1,0.058879,65.87,16.50,3.15
1648.01,11177543,1,0.432286,95.46,29.56,3.92
1649.01,11337141,1,0.299087,53.56,18.61,2.39
1650.01,11337372,1,0.470281,66.43,21.34,2.34
1650.02,11337372,1,0.675060,215.45,66.78,3.04
1651.01,11337833,1,0.666615,108.06,30.45,2.65
1652.01,11391667,2,0.480963,17.61,2.42,5.20
1653.01,11392017,1,0.493102,33.15,13.86,2.89
1654.01,11546211,1,0.378803,227.36,24.23,6.57
1655.01,11547505,1,-0.093237,3.81,12.92,2.78
1656.01,4471747,1,-0.255268,76.30,29.89,2.70
1657.01,4474645,1,0.498794,52.00,7.23,10.78
1658.01,4570949,1,-0.498359,54.88,4.22,15.98
1659.01,4650733,1,0.641217,62.05,25.77,2.03
1660.01,4830605,1,-0.177184,114.65,31.04,3.33
1661.01,4832197,1,0.241609,19.51,4.82,5.38
1662.01,4844004,2,-0.495794,120.49,13.81,8.79
1663.01,4927315,1,0.344118,195.50,17.85,10.29
1664.01,4928119,1,-0.087438,251.96,90.33,3.87
1665.01,4932442,1,0.352637,17.63,6.41,1.81
1666.01,5008501,1,0.267942,6.57,4.48,1.30
1667.01,5015913,1,-0.296619,6.87,3.47,2.02
1668.01,5103942,1,0.495272,418.55,21.64,20.11
1669.01,5183357,1,-0.038722,37.07,12.88,2.72
1670.01,5184709,1,0.045491,40.48,16.86,2.90
1671.01,5195172,1,-0.467958,7.26,3.00,1.88
1672.01,5269467,1,0.746523,165.11,49.58,4.00
1673.01,5271608,1,0.513145,45.86,11.87,3.28
1674.01,5357470,1,0.266108,111.19,11.11,18.75
1675.01,5360920,1,0.156144,136.25,47.01,3.88
1676.01,5443775,1,0.526551,7.50,3.51,2.29
1677.01,5526717,1,0.027732,89.72,23.83,3.15
1678.01,5527172,1,-0.499442,1259.26,26.87,109.77
1679.01,5529643,1,0.482606,19.92,8.31,1.29
1680.01,5530882,1,0.499259,20.00,7.02,2.58
1681.01,5531953,1,0.449375,93.50,30.63,3.13
1681.02,5531953,1,0.275991,29.81,18.47,2.01
1681.03,5531953,1,0.224743,93.29,24.71,3.22
1683.01,6034945,1,0.637404,16.76,14.02,2.93
1684.01,6048024,1,0.448801,63.27,18.53,3.73
1685.01,6049190,1,0.612512,97.47,23.92,3.17
1687.01,6198999,1,0.586729,59.58,15.75,4.36
1688.01,6310636,1,0.180960,-1.54,7.75,0.05
1689.01,6312534,1,-0.082905,34.68,54.29,0.48
1690.01,6470917,1,0.132799,13.39,9.54,1.17
1691.01,6611330,1,0.659220,147.13,77.24,3.99
1692.01,6616218,1,0.314920,12.86,6.24,2.23
1692.02,6616218,1,0.305857,11.56,4.22,2.83
1693.01,6696462,1,-0.213002,24.62,11.35,2.03
1694.01,6699368,1,0.530953,19.87,8.58,2.31
