#Col 1 - KOI
#Col 2 - KIC
#Col 3 - 1==good ephemeris match to TCE ; 2=degraded match to TCE or twice/half ephemeris match, but still acceptable
#Col 4 - Phase of secondary - weak secondary test is still triggering near the primary sometimes; filter on proximity
#Col 5- 2ndary depth [ppm]
#Col 6 - uncertainty in 2ndary depth [ppm]
#Col 7 - MES/significance of secondary
#
KOI,kepid,matchflag,phase,depth,e_depth,mes
117.04,10875245,1,-0.207120,16.19,4.74,3.22
118.01,3531558,1,0.429766,6.43,5.57,2.23
119.01,9471974,1,0.472502,9.73,7.12,10.65
119.02,9471974,1,-0.222389,46.82,12.94,3.83
120.01,11869052,1,0.082895,22.74,6.93,3.85
121.01,3247396,1,0.500629,50.13,5.82,8.03
122.01,8349582,1,-0.105077,8.31,4.49,2.33
123.01,5094751,1,0.563898,6.45,3.03,2.73
123.02,5094751,1,0.054561,9.13,4.99,2.20
124.01,11086270,1,0.436331,27.78,5.83,8.95
124.02,11086270,1,0.587069,25.51,6.51,3.17
125.01,11449844,1,0.032924,64.07,24.48,3.00
126.01,5897826,1,-0.214600,21.76,9.56,2.70
127.01,8359498,1,-0.150190,6.18,6.29,1.37
128.01,11359879,1,0.212243,11.62,5.72,2.28
129.01,11974540,1,0.359750,59.57,20.07,3.47
130.01,5297298,1,0.436472,27.73,10.45,2.96
131.01,7778437,1,0.668558,10.21,9.73,1.73
132.01,8892910,1,0.499651,130.37,7.65,16.31
133.01,11673674,1,0.499912,90.29,6.71,15.47
135.01,9818381,1,0.499464,15.30,5.98,2.48
136.01,7601633,1,0.169380,60.04,16.34,3.12
137.01,8644288,1,0.737950,18.77,6.46,2.72
137.02,8644288,1,0.629619,-17.60,9.31,18.66
137.03,8644288,1,0.469764,7.62,5.20,1.91
138.01,8506766,1,0.123454,49.09,16.14,2.59
139.01,8559644,1,0.369110,66.33,28.83,3.37
139.02,8559644,1,0.646522,9.97,4.25,2.15
140.01,5130369,1,0.461618,141.58,8.18,16.69
141.01,12105051,1,0.147663,13.05,6.57,2.44
143.01,4649305,1,0.012028,357.95,13.97,23.51
144.01,4180280,1,0.570827,6.45,6.73,1.31
145.01,9904059,1,0.098631,149.85,43.27,3.58
146.01,9048161,1,0.500309,74.77,6.01,13.13
147.01,1996679,1,-0.107629,473.25,41.94,12.89
148.01,5735762,1,0.463057,9.48,5.23,2.67
148.02,5735762,1,0.269659,18.65,8.14,3.52
148.03,5735762,1,0.133855,26.82,12.46,2.90
149.01,3835670,1,0.230796,9.80,5.64,0.15
150.01,7626506,1,0.737562,10.97,6.16,3.83
150.02,7626506,1,0.729212,22.41,11.21,2.16
151.01,2307199,1,0.017429,115.84,13.39,7.07
152.01,8394721,1,0.611258,68.13,23.91,4.11
152.02,8394721,1,0.101910,35.01,15.24,3.82
152.03,8394721,1,0.259124,26.78,11.87,2.88
152.04,8394721,1,0.012688,113.84,30.52,3.53
153.01,12252424,1,0.219193,22.07,7.98,2.39
153.02,12252424,1,0.218018,6.51,5.83,3.01
155.01,8030148,1,0.109496,10.04,4.37,2.04
156.01,10925104,1,0.075392,21.79,9.38,3.65
156.02,10925104,1,0.403735,20.79,7.85,2.63
156.03,10925104,1,0.311632,32.38,12.11,2.79
157.01,6541920,1,0.104588,7.47,7.95,3.96
157.02,6541920,1,0.645735,14.18,10.33,3.40
157.03,6541920,1,-0.143482,46.45,15.07,7.77
157.04,6541920,1,0.311489,34.49,12.47,3.23
157.05,6541920,1,0.361508,106.32,24.87,5.22
157.06,6541920,1,-0.226732,18.76,7.26,2.57
158.01,10555375,1,0.569379,22.72,7.44,3.01
159.01,8972058,1,0.718943,24.79,5.68,3.62
159.02,8972058,1,0.647452,13.02,4.49,3.16
160.01,6631721,1,0.597788,36.73,9.76,3.71
161.01,5084942,1,0.675979,8.32,5.35,2.21
162.01,8107380,1,0.568664,14.19,7.79,2.40
163.01,6851425,1,0.323775,11.17,6.73,2.23
164.01,5652237,1,0.492772,12.29,5.35,2.24
165.01,9527915,1,0.122902,18.80,10.78,2.49
166.01,2441495,1,0.626472,17.59,9.97,2.55
167.01,11666881,1,0.063687,21.39,4.42,4.27
168.01,11512246,1,0.545915,17.49,5.95,2.37
168.02,11512246,1,0.727292,16.22,6.74,2.55
168.03,11512246,1,0.551477,13.96,4.82,2.57
169.01,6185711,1,0.684176,28.90,11.06,3.00
170.01,11044770,1,0.719415,93.71,8.15,12.53
171.01,7831264,1,0.356390,16.27,5.81,2.54
171.02,7831264,1,0.138149,12.26,8.90,3.06
172.01,8692861,1,0.677373,18.99,6.45,2.53
172.02,8692861,1,0.052136,71.30,22.93,3.50
173.01,11402995,1,0.680459,17.38,5.81,2.85
174.01,10810838,1,0.518594,71.06,21.60,3.57
175.01,8323753,1,-0.236438,24.27,6.44,3.63
176.01,6442377,1,0.126178,21.65,7.97,2.74
177.01,6803202,1,0.510676,20.76,6.40,3.14
178.01,11455491,1,0.509900,38.21,3.63,9.76
179.01,9663113,1,0.491635,19.49,9.52,4.67
180.01,9573539,1,0.742348,20.65,6.59,2.58
181.01,12504988,1,0.499922,832.93,14.67,61.27
182.01,5376836,1,0.498840,477.86,14.61,40.61
183.01,9651668,1,-0.292980,22.22,6.84,2.81
184.01,7972785,1,0.500068,277.38,10.26,26.41
185.01,4178389,1,-0.062651,96.17,27.80,3.29
186.01,12019440,1,0.416099,29.78,10.78,2.04
187.01,7023960,1,0.148874,328.44,22.16,15.21
188.01,5357901,1,0.061451,26.26,9.33,2.99
189.01,11391018,1,0.047786,79.49,21.86,4.90
190.01,5771719,1,0.432995,131.49,17.43,7.58
191.01,5972334,1,0.216414,38.86,23.98,1.33
191.02,5972334,1,0.267050,17.56,10.95,1.15
191.03,5972334,1,0.145528,-3.74,12.90,0.32
191.04,5972334,1,0.630462,62.10,40.73,2.90
192.01,7950644,1,0.321001,17.90,8.00,1.52
193.01,10799735,1,-0.184638,246.96,23.97,10.68
194.01,10904857,1,0.504338,335.60,16.50,20.96
195.01,11502867,1,0.510490,6.61,11.45,1.81
196.01,9410930,1,0.498501,46.54,5.59,9.10
197.01,2987027,1,0.564963,39.98,14.24,2.35
198.01,10666242,1,0.055211,115.26,32.66,3.66
199.01,10019708,1,-0.089602,28.18,8.17,3.22
199.02,10019708,1,0.500866,69.67,10.99,6.44
200.01,6046540,1,0.244073,28.43,10.70,2.21
201.01,6849046,1,0.327880,11.57,5.67,2.65
202.01,7877496,1,0.498796,46.71,6.37,8.17
203.01,10619192,1,0.503602,61.96,7.75,8.23
204.01,9305831,1,0.048126,0.00,-1.00,0.00
205.01,7046804,1,-0.094211,54.48,14.46,3.42
206.01,5728139,1,0.506938,2.62,9.64,0.37
208.01,3762468,1,0.507674,67.17,21.21,3.04
209.01,10723750,1,0.412911,43.86,19.41,8.99
209.02,10723750,1,0.092407,19.15,12.03,1.49
210.01,10602291,1,0.142457,94.91,32.78,2.75
211.01,10656508,1,0.597080,148.08,43.25,3.29
212.01,6300348,1,0.340807,47.26,14.96,2.84
213.01,9164836,1,0.739830,8371.51,77.80,332.75
214.01,11046458,1,0.492546,21.92,10.73,2.38
215.01,12508335,1,0.415026,147.40,33.33,4.20
216.01,6152974,1,0.438414,70.73,29.83,3.58
216.02,6152974,1,0.458590,62.07,18.90,3.75
217.01,9595827,1,-0.206728,50.32,13.32,4.21
218.01,9838975,1,0.466195,1793.30,52.35,36.80
219.01,6305192,1,0.575444,37.61,9.03,3.23
220.01,7132798,1,0.058059,0.00,-1.00,0.00
220.02,7132798,1,0.509106,10.76,6.01,1.86
221.01,3937519,1,0.721803,29.65,9.01,2.55
221.02,3937519,1,0.566001,24.36,11.80,1.71
222.01,4249725,1,0.337624,35.57,14.05,2.68
222.02,4249725,1,0.394719,44.17,18.43,2.52
223.01,4545187,1,0.233848,31.77,10.59,2.95
223.02,4545187,1,-0.128225,66.11,26.82,2.56
224.01,5547480,1,0.499388,146.59,14.84,8.74
225.01,5801571,1,-0.115521,40.04,11.67,4.02
226.01,5959753,1,-0.231175,40.93,12.67,2.95
229.01,3847907,1,0.045272,-10.22,22.74,1.82
230.01,3862246,1,0.488436,609.26,23.31,25.49
231.01,4043443,1,-0.201963,4293.25,170.40,63.88
232.01,4833421,1,0.330016,17.82,9.75,2.61
232.02,4833421,1,0.108674,8.72,6.70,1.26
232.03,4833421,1,-0.194046,31.83,13.59,2.29
232.04,4833421,1,0.244748,34.04,14.71,2.93
232.05,4833421,1,-0.181228,35.75,15.31,2.73
233.01,5023956,1,0.094196,8.48,9.44,1.88
234.01,8491277,1,-0.272387,28.66,8.92,2.82
235.01,8107225,1,-0.147025,24.18,8.72,2.86
236.01,8453211,1,0.262932,18.15,8.16,1.72
237.01,8041216,1,0.708608,27.98,8.53,3.20
238.01,7219825,1,0.566399,17.93,8.48,2.48
238.02,7219825,1,-0.235756,20.31,11.41,2.93
238.03,7219825,1,0.686283,67.08,29.85,4.46
239.01,6383785,1,0.470911,29.75,11.32,2.24
239.02,6383785,1,0.251591,34.87,10.29,2.73
240.01,8026752,1,0.063554,103.05,10.71,8.33
241.01,11288051,1,0.172973,35.81,12.73,2.80
241.02,11288051,1,0.396802,38.37,17.05,2.41
241.03,11288051,1,0.218385,16.14,7.24,1.51
242.01,3642741,1,0.597441,53.68,14.00,3.82
243.01,9592579,1,0.400265,13.92,9.70,2.28
244.01,4349452,1,-0.123244,5.53,3.00,5.63
244.02,4349452,1,0.374480,3.17,1.90,1.89
245.01,8478994,1,0.264284,9.10,4.46,6.78
245.02,8478994,1,0.465702,6.75,3.06,4.02
246.01,11295426,1,0.412082,1.22,1.53,3.66
246.02,11295426,1,0.637637,0.74,1.97,5.44
247.01,11852982,1,0.717625,59.52,21.68,3.05
248.01,5364071,1,0.549477,40.03,22.42,2.54
248.02,5364071,1,0.513661,70.87,25.44,3.23
248.03,5364071,1,-0.234081,32.44,15.93,2.54
248.04,5364071,1,0.299794,98.95,39.11,3.11
249.01,9390653,1,0.513707,40.24,17.48,3.10
250.01,9757613,1,0.633070,90.71,32.88,3.05
250.02,9757613,1,0.430651,155.26,36.22,3.52
250.03,9757613,1,0.156373,86.09,16.45,4.36
250.04,9757613,1,-0.160214,163.92,67.76,4.31
251.01,10489206,1,0.138077,54.27,19.32,3.21
251.02,10489206,1,0.311722,78.78,24.54,3.60
252.01,11187837,1,0.327319,123.36,31.27,4.27
253.01,11752906,1,0.494957,88.26,35.76,2.82
253.02,11752906,1,-0.111988,202.12,54.07,4.73
254.01,5794240,1,0.282560,64.00,24.04,2.08
255.01,7021681,1,0.726102,127.12,28.42,3.80
256.01,11548140,1,0.145070,446.02,41.86,5.60
257.01,5514383,1,-0.160410,10.62,3.65,3.59
258.01,11231334,1,0.503589,93.96,7.27,14.92
259.01,5790807,1,0.005960,336.65,30.60,7.99
260.01,8292840,1,0.497061,7.16,2.43,3.64
260.02,8292840,1,0.496843,30.78,9.55,4.74
260.03,8292840,1,-0.167557,12.91,3.47,2.87
261.01,5383248,1,0.404354,14.00,4.13,3.30
262.01,11807274,1,0.718361,5.11,2.55,3.03
262.02,11807274,1,0.123311,13.85,3.24,4.60
263.01,10514430,1,0.162397,14.74,6.25,2.88
264.01,3097346,1,0.505247,7.99,1.79,4.52
265.01,12024120,1,0.646850,4.26,2.12,2.22
266.01,7375348,1,-0.241399,13.75,3.76,4.28
266.02,7375348,1,0.040799,15.62,6.79,3.65
268.01,3425851,1,-0.180068,35.22,9.54,3.03
269.01,7670943,1,0.748149,5.98,2.64,2.97
270.01,6528464,1,-0.158612,6.65,2.56,3.32
270.02,6528464,1,0.362204,14.99,3.75,3.94
271.01,9451706,1,0.437373,11.85,8.58,2.55
271.02,9451706,1,0.030125,0.20,6.11,4.00
271.03,9451706,1,-0.058034,12.37,4.29,2.60
272.01,5716763,2,0.151211,13.74,4.86,1.15
273.01,3102384,1,0.508040,3.12,3.76,2.43
274.01,8077137,2,-0.163852,7.75,3.58,3.30
274.02,8077137,2,0.669341,11.88,4.19,3.10
275.01,10586004,1,0.628650,17.65,4.24,3.64
275.02,10586004,1,0.205355,37.12,9.21,3.79
276.01,11133306,1,0.225167,20.32,5.41,3.71
277.01,11401755,1,0.493471,7.62,3.93,2.23
277.02,11401755,1,-0.190319,9.29,3.54,2.85
279.01,12314973,1,0.477210,23.82,8.78,4.03
279.02,12314973,1,0.677399,14.28,6.04,3.36
280.01,4141376,1,0.268030,7.37,2.57,4.11
281.01,4143755,1,0.749588,9.94,3.73,2.41
282.01,5088536,1,0.450319,11.50,4.49,2.86
282.02,5088536,1,0.664970,9.72,2.87,2.55
282.03,5088536,1,-0.091649,35.63,10.66,4.04
283.01,5695396,1,0.192253,12.45,4.45,3.11
283.02,5695396,1,-0.048314,18.28,5.56,3.09
284.01,6021275,1,0.677027,8.32,5.38,2.76
284.02,6021275,1,0.420266,5.01,2.85,2.06
284.03,6021275,1,0.145524,6.02,2.73,3.37
284.04,6021275,1,0.316557,52.23,11.57,4.11
285.01,6196457,1,0.372047,10.53,4.00,3.03
285.02,6196457,1,-0.107049,14.77,5.48,2.81
285.03,6196457,1,0.146828,18.08,7.19,3.36
286.01,8258171,1,0.480518,84.67,3.58,24.65
287.01,8703887,1,-0.057196,242.99,13.77,18.54
288.01,9592705,1,0.104732,5.09,3.20,3.11
289.01,10386922,1,0.437381,30.07,6.51,3.29
289.02,10386922,1,0.645473,142.60,32.36,7.21
290.01,10488450,1,0.501562,26.89,4.58,5.79
291.01,10933561,1,-0.205088,22.13,8.08,3.08
291.02,10933561,1,0.590926,13.25,6.20,2.61
292.01,11075737,1,0.340292,5.66,3.13,1.98
293.01,11200415,1,0.663220,12.12,3.45,2.44
294.01,11259686,1,-0.161002,26.32,11.72,3.05
295.01,11547513,1,0.401982,11.76,3.80,2.72
295.02,11547513,1,0.746017,21.99,6.11,4.35
296.01,11802615,1,0.741356,30.10,7.56,2.69
297.01,11905011,1,0.186795,6.39,3.31,2.48
298.01,12785320,1,0.670757,24.10,8.76,3.16
298.02,12785320,1,0.489489,30.61,13.70,4.87
299.01,2692377,1,-0.091892,19.86,4.17,4.66
300.01,3438975,1,0.416542,3.14,2.11,2.07
301.01,3642289,1,0.443987,4.37,3.22,1.84
301.02,3642289,1,0.245633,8.46,4.08,2.48
302.01,3662838,1,0.163328,31.74,11.26,3.62
303.01,5966322,1,0.741989,28.82,9.91,3.46
304.01,6029239,1,0.608451,13.03,5.52,2.30
304.02,6029239,1,-0.115150,7.25,4.21,2.38
305.01,6063220,1,0.748834,14.67,4.97,3.22
306.01,6071903,1,0.370917,29.30,9.86,3.20
307.01,6289257,1,0.208413,22.02,6.07,3.78
307.02,6289257,1,0.677063,9.24,3.28,2.55
308.01,6291837,1,0.749149,42.11,9.61,3.80
309.01,7024222,1,0.298512,6.77,2.82,2.65
312.01,7050989,1,0.714114,8.56,4.24,3.09
312.02,7050989,1,0.284919,13.41,4.63,3.62
313.01,7419318,1,0.653735,31.23,8.34,3.95
313.02,7419318,1,0.219601,16.18,5.11,2.83
314.01,7603200,1,0.612248,23.61,7.52,3.97
314.02,7603200,1,0.622924,32.29,9.41,3.18
314.03,7603200,2,0.252911,22.45,5.97,3.51
315.01,7700622,2,-0.074654,8.56,9.36,3.15
316.01,8008067,1,-0.205576,7.67,6.21,2.64
316.02,8008067,1,0.316912,75.76,18.92,3.89
316.03,8008067,1,0.214730,19.01,6.44,3.30
317.01,8121310,1,0.485201,28.94,8.88,2.90
318.01,8156120,1,-0.123733,83.73,24.96,4.77
319.01,8684730,1,-0.387557,23.06,8.41,2.89
320.01,8700558,1,0.396760,4.60,2.40,1.82
321.01,8753657,1,0.485138,5.55,2.24,2.45
321.02,8753657,1,-0.070295,5.39,2.91,2.01
322.01,8948424,1,0.426303,894.95,91.97,8.62
323.01,9139084,1,0.500940,12.24,5.53,3.77
324.01,9641041,2,0.560486,12.57,2.06,7.57
325.01,9724984,1,0.521935,18.62,5.70,3.52
326.01,9880467,1,-0.068314,35.46,21.13,2.63
326.02,9880467,1,-0.169303,161.81,73.45,3.09
327.01,9881662,1,0.468008,6.65,3.17,1.97
327.02,9881662,1,-0.160603,51.28,15.26,4.01
328.01,9895004,1,0.613667,5.63,3.59,2.49
329.01,10031885,1,0.486879,70.66,5.99,11.56
330.01,11361646,1,0.572282,21.79,6.75,2.52
330.02,11361646,1,0.122597,2.65,6.22,0.96
331.01,10285631,1,0.707224,32.52,10.57,3.26
332.01,10290666,1,0.052408,4.95,9.09,2.06
332.02,10290666,1,0.495108,8.98,4.34,2.18
333.01,10337258,1,-0.246092,29.86,10.34,4.12
334.01,10383687,1,0.458207,74.27,6.43,10.71
335.01,10470206,1,0.224085,37.37,9.78,3.67
336.01,10518725,1,0.591859,29.04,10.20,2.88
337.01,10545066,1,0.745222,33.56,12.56,2.79
338.01,10552611,1,0.027637,-0.84,11.58,2.51
338.02,10552611,1,0.305701,9.19,5.54,1.70
339.01,10587105,1,-0.073640,-3.68,18.84,1.23
339.02,10587105,1,0.405444,29.45,10.45,2.77
339.03,10587105,1,0.689546,27.95,13.78,2.45
340.01,10616571,1,0.323119,444.80,41.76,19.92
341.01,10878263,1,0.168219,34.94,9.16,3.88
341.02,10878263,1,0.671519,20.17,7.36,2.49
343.01,10982872,1,0.615076,11.51,5.25,2.99
343.02,10982872,1,0.504329,5.46,3.41,1.97
343.03,10982872,1,0.176113,37.13,11.52,3.19
344.01,11015108,1,0.545290,35.71,14.38,3.11
345.01,11074541,1,0.662914,47.60,12.91,3.59
346.01,11100383,1,0.466234,46.15,13.32,3.13
347.01,11189127,1,0.499402,675.57,10.07,83.51
348.01,11194032,1,0.500707,41.55,13.93,4.07
349.01,11394027,1,-0.155670,25.70,9.46,2.59
350.01,11395587,1,-0.014433,114.04,34.44,4.29
351.01,11442793,1,0.195382,18.42,48.20,45.91
351.03,11442793,1,-0.028732,-15.39,21.39,13.81
351.05,11442793,1,-0.117195,21.67,11.93,5.56
351.06,11442793,1,0.248491,27.97,10.42,3.10
352.01,11521793,1,-0.077210,39.31,11.34,3.37
352.02,11521793,1,0.095854,59.02,13.95,3.78
353.01,11566064,1,-0.040570,166.61,45.83,2.80
353.02,11566064,1,0.234424,76.63,23.91,2.90
353.03,11566064,1,0.743850,29.59,12.65,3.26
354.01,11568987,1,-0.096448,26.65,9.06,2.75
354.02,11568987,1,0.155080,29.85,6.68,3.64
355.01,11621223,1,0.699185,9.87,4.38,2.50
356.01,11624249,1,-0.046180,69.72,22.61,3.65
358.01,12017140,1,0.449325,1260.36,22.97,87.60
359.01,12106929,1,0.499816,81.28,6.88,11.96
361.01,12404954,1,0.628679,12.22,5.08,2.61
362.01,1571511,1,0.526037,182.45,8.95,20.28
363.01,2438070,1,-0.084427,10.21,6.22,1.46
365.01,11623629,1,-0.139827,33.62,8.04,2.85
366.01,3545478,1,-0.028445,67.37,17.28,4.75
367.01,4815520,1,0.143689,26.59,7.68,3.24
368.01,6603043,1,-0.410199,30.02,4.29,7.42
369.01,7175184,1,-0.132393,9.96,3.32,2.92
369.02,7175184,1,-0.228857,14.18,4.11,3.13
370.01,8494142,1,0.049714,10.04,6.36,3.15
370.02,8494142,1,0.577986,15.66,4.76,3.18
371.01,5652983,1,0.698437,91.27,46.23,3.84
372.01,6471021,1,0.079423,48.85,29.85,7.26
373.01,7364176,1,0.290105,23.86,11.20,3.14
374.01,8686097,1,0.654204,42.24,9.73,4.04
376.01,12643589,1,0.107244,89.93,34.40,3.62
376.02,12643589,1,0.500308,38.50,6.81,5.08
377.03,3323887,1,-0.099396,-8.26,6.20,6.73
378.01,2449074,1,0.499605,302.48,14.24,25.97
379.01,2446113,1,-0.207798,25.32,6.29,3.64
379.02,2446113,1,-0.213128,39.20,11.45,3.28
380.01,2452450,1,0.498655,72.50,7.58,10.27
381.01,3230578,1,0.499994,149.51,8.50,18.55
382.01,3231137,1,0.499447,76.25,7.07,10.79
384.01,3353050,1,0.592403,7.13,4.62,1.98
385.01,3446746,1,0.589147,24.70,9.17,2.88
386.01,3656121,1,0.244172,38.08,19.66,3.03
386.02,3656121,1,0.173705,64.85,26.02,3.15
387.01,3733628,1,0.544770,41.96,10.48,3.17
388.01,3831053,1,0.189398,12.93,4.87,2.47
389.01,3847708,1,0.503005,40.97,6.14,6.39
390.01,3849155,1,-0.080244,8.81,8.21,2.50
391.01,3858804,1,0.374048,33.10,11.91,2.41
392.01,3942670,1,-0.200986,32.94,10.87,2.34
392.02,3942670,1,0.628954,33.13,8.96,2.69
393.01,3964109,1,0.283056,16.53,8.62,1.93
394.01,4159347,1,0.368380,374.27,13.11,36.35
395.01,4165960,1,-0.491272,25.78,9.80,2.40
396.01,4252322,1,0.544838,42.37,10.53,4.50
397.01,4376644,1,0.015694,110.18,21.38,4.67
398.01,9946525,1,0.536395,150.42,54.77,4.25
398.02,9946525,1,0.463514,31.96,16.52,2.39
398.03,9946525,1,0.074691,1.64,18.82,1.17
399.01,7289157,1,0.483610,5995.84,128.23,1097.32
400.01,2695110,1,0.025124,83.04,31.03,2.11
401.01,3217264,1,0.137161,25.32,14.66,4.66
401.02,3217264,1,0.014557,148.34,34.86,3.99
401.03,3217264,1,0.551159,36.68,15.81,3.11
402.01,3342592,1,0.511904,605.28,19.64,32.01
403.01,4247092,1,0.014841,151.63,19.67,5.16
404.01,4949751,1,0.546629,64.17,18.85,2.92
405.01,5003117,1,0.441653,754.55,15.64,54.70
406.01,5035972,1,-0.168529,1252.83,43.87,43.08
